production,number_of_movies,domestic_revenue,total_revenue
Aperture Media Partners,9,"42,039,112","69,788,112"
Warrior Poets,9,"32,928,883","75,365,032"
Rooks Nest Entertainment,9,"28,373,840","43,978,259"
Big Indie Pictures,9,"28,277,576","54,845,347"
Verisimilitude,9,"23,746,058","50,200,993"
Excel Entertainment,9,"14,455,365","39,590,278"
Shoebox Films,9,"14,066,731","41,470,539"
Sailor Bear,9,"13,598,233","21,163,305"
Micro_Scope,9,"11,245,196","45,630,071"
Screenwest,9,"9,658,389","31,849,397"
Lotterywest,9,"9,658,389","31,849,397"
Versus Productions,9,"9,329,330","22,135,784"
ARC Entertainment,9,"9,152,313","20,631,303"
3311 Productions,9,"8,243,902","10,370,443"
