collection,number_of_movies,domestic_revenue,revnue,first_year,last_year,nu_of_years
Bring It On,5,"$68,353,550","$90,453,550",2000,2017,17
Harold & Kumar,3,"$91,394,924","$99,017,018",2004,2011,7
High School Musical,5,"$90,559,416","$279,277,272",2006,2008,2
Dumbo,2,"$114,766,307","$353,184,736",1941,2019,78
Bad Grandpa,2,"$102,003,019","$160,903,019",2013,2014,1
Dukes of Hazzard,2,"$80,270,227","$109,848,461",2005,2007,2
Old School,1,"$75,155,000","$86,765,463",2003,2003,
Sisterhood of the Traveling Pants,2,"$83,143,025","$85,830,248",2005,2008,3
Urban Legend,2,"$59,585,514","$111,146,226",1998,2000,2
Bad Santa,2,"$77,842,504","$100,492,144",2003,2016,13
Starship Troopers,3,"$54,768,952","$121,100,000",1997,2008,11
The Land Before Time,3,"$48,092,846","$81,972,846",1988,2016,28
Evil Dead,4,"$74,065,876","$154,607,509",1983,2013,30
Hellraiser,6,"$48,022,912","$48,034,060",1987,2018,31
Agent Cody Banks,2,"$71,059,307","$86,943,541",2003,2004,1
28 Days Later,2,"$73,703,831","$147,188,347",2003,2007,4
Dragonheart,4,"$51,364,680","$104,364,680",1996,2017,21
Dollar Trilogy,3,"$13,900,000","$13,927,522",1967,1967,
Kenneth Branagh's Hercule Poirot,2,"$102,826,543","$345,922,730",2017,2020,3
Teen Wolf,2,"$40,974,611","$40,974,611",1985,1987,2
Zoolander,2,"$74,020,943","$116,129,674",2001,2016,15
Missing in Action,3,"$39,567,858","$39,567,858",1984,1988,4
Jumper,1,"$80,172,128","$222,640,812",2008,2008,
Sicario,2,"$96,955,143","$160,278,945",2015,2018,3
The Nut Job,2,"$92,622,060","$179,968,355",2014,2017,3
Nanny McPhee,2,"$76,476,921","$226,545,443",2006,2010,4
Universal Soldier,4,"$46,752,779","$48,562,507",1992,2012,20
Weekend at Bernie's,2,"$42,960,278","$42,960,278",1989,1993,4
Downton Abbey,2,"$96,853,865","$194,347,679",2019,2019,
F/X,2,"$41,679,546","$41,679,546",1986,1991,5
Mannequin,2,"$41,318,609","$41,318,609",1987,1991,4
Highlander,5,"$46,623,898","$53,623,898",1986,2008,22
God's Not Dead,3,"$87,257,741","$94,683,139",2014,2018,4
NeverEnding Story,2,"$38,416,963","$38,509,012",1984,1991,7
Creepshow,2,"$34,036,244","$34,036,244",1982,1987,5
White Fang,2,"$43,481,490","$43,481,490",1991,1994,3
Behind Enemy Lines,4,"$58,855,732","$58,855,732",2001,2014,13
Ouija,2,"$86,000,515","$185,132,498",2014,2016,2
I Can Only Imagine,2,"$93,350,873","$96,248,171",2018,2020,2
His Dark Materials,1,"$70,107,728","$367,262,558",2007,2007,
Man from Snowy River,2,"$34,346,450","$34,346,450",1982,1988,6
3 Ninjas,4,"$41,488,660","$41,488,660",1992,1998,6
The Woman in Black,2,"$80,834,613","$173,962,590",2012,2015,3
Gods Must Be Crazy,2,"$36,323,227","$43,923,227",1984,1990,6
