distributor,number_of_movies,budget,total_revenue,best_seller
Dimension Pictures, 7," $500,000"," $31,907,498", Kingdom of the Spiders
Empire Pictures, 26," $4,000,000"," $31,843,906", Yves St. Laurent
Trafalgar Releasing, 21, $0," $31,781,618", Bring the Soul: The Movie
Cinema Service, 1," $8,500,000"," $30,298,347", Silmido
Walter Reade Organization, 1," $114,000"," $30,087,064", Night of the Living Dead
Bluesky Cinemas, 7," $40,000,000"," $29,882,688", Baahubali: The Beginning
NeoClassics Films, 1," $11,400,000"," $29,830,239", St. Trinian’s
SK Films, 2, $0," $29,634,725", Bugs! (IMAX)
Cheng Cheng Films, 3, $0," $29,357,660", SoulMate
Orion Classics, 32," $574,333"," $29,101,718", Europa Europa
Miramax/Roadside Attractions, 1, $0," $28,978,721", Mr. Holmes
levelFILM, 10, $0," $28,833,078", Sou Suo
Shemaroo Entertainment, 6, $0," $28,224,707", Apne
IFC Midnight, 95," $2,762,500"," $27,960,423", The Babadook
Vitagraph Films, 30," $7,400,000"," $27,913,232", Der Baader Meinhof Komplex
Shudder, 3, $0," $26,796,131", Kamera o tomeru na!
National General Pictures, 17, $0," $26,625,778", The Life and Times of Judge Roy Bean
Screen Media Films, 100," $12,494,714"," $26,445,183", John Carpenter’s Ghosts of Mars
Paladin, 63," $5,275,000"," $26,286,215", What a Man
Rialto Pictures, 51, $0," $26,045,160", Z
Pathe Contemporary Films, 4," $11,000,000"," $25,419,761", Le pr?nom
Island, 4," $1,037,500"," $24,998,164", The Trip to Bountiful
WellSpring, 29," $6,280,000"," $24,693,314", De battre mon coeur s'est arr?t?
101 Studios, 4," $30,000,000"," $24,194,320", La belle ?poque
Island/Alive, 8," $1,550,000"," $23,972,128", Kiss of the Spider Woman
IFI Scope, 2," $250,000"," $23,894,000", Graduation Day
Hemdale, 13," $4,500,000"," $23,461,415", Criminal Law
Cinema Guild, 79," $690,000"," $23,178,717", Witchboard
Momentum Pictures, 45," $13,333,333"," $22,535,819", Oddball
ARC Entertainment, 36," $12,700,000"," $22,274,602", For Greater Glory: The True Story of …
Joe Camp Productions, 1, $0," $22,257,624", For the Love of Benji
ShortsHD, 7, $0," $20,771,910", 2019 Oscar Shorts
Live Entertainment, 4," $68,000"," $20,587,084", Wes Craven's Wishmaster
Levitt-Pickman, 4, $0," $20,447,000", The Groove Tube
Shining Excalibur, 1," $1,500,000"," $20,412,216", Kids
Cleopatra Films, 18," $8,000,000"," $20,143,974", A Street Cat Named Bob
Vivendi Entertainment, 7," $11,500,000"," $20,104,616"," New York, I Love You"
WGBH Giant-Screen Films, 1, $0," $19,667,161", Shackleton's Antarctic Adventure
LD Entertainment, 5," $1,000,000"," $19,419,400", The Miracle Season
Producers Distribution Agency, 4," $650,000"," $19,406,249", The Way
Quality Flix, 2," $5,000,000"," $18,985,812", Hillary’s America: The Secret Histo…
Star Synergy Entertainment, 1, $0," $18,520,527", Lipstick Under My Burka
Icarus Films, 29, $0," $18,471,859", Kang rinpoche
Rainbow Releasing, 15, $0," $18,433,359", Shootout at Lokhandwala
Adopt Films, 17, $0," $18,290,793", Victoria
NCM Fathom, 87," $19,000,000"," $18,142,469", Phantom of the Opera at the Royal Alb…
Odeon Films, 5, $0," $18,138,568", La Grande Seduction
Gravitas Ventures, 217," $1,825,000"," $17,992,796", 7 Guardians of the Tomb
Crown International, 3, $0," $17,963,860", The Pom Pom Girls
Excel Entertainment, 19," $2,921,667"," $17,958,241", The Other Side of Heaven
Under the Milky Way, 6, $0," $17,929,783", Demain
Red Chillies Entertainment, 2, $0," $17,359,388", Jab Harry Met Sejal
Sundance Selects, 18," $9,000,000"," $17,069,174", Dheepan
Cinedigm, 66, $0," $17,048,367", Life
PMK*BNC, 4," $930,000"," $16,754,919", Mai wei
Image Entertainment, 31," $4,430,000"," $16,261,604", The Tall Man
Film Arcade, 21," $1,750,000"," $15,931,249"," Love, Rosie"
Elevation Pictures, 3," $20,000,000"," $15,824,374", Regression
Warren Miller Entertainment, 6, $0," $13,987,614", Fifty
Discovery/IMAX, 2, $0," $13,806,525", Africa's Elephant Kingdom
Providence Entertainment, 3," $7,200,000"," $13,773,632", The Omega Code
Purdie Distribution, 13," $2,000,000"," $13,564,556", Meet the Mormons
LD Distribution, 2," $10,000,000"," $13,549,204", The Collection
Blue Fox Entertainment, 32," $1,660,000"," $13,301,791", Here Comes the Grump
Northern Arts Entertainment, 25, $0," $13,290,600", Don't Move
Lorber Films, 24, $0," $13,189,525", Katyn
Galaxy International Releasing, 3," $6,000,000"," $13,114,519", Halloween 5: The Revenge of Michael M…
RLJ Entertainment, 47," $4,225,000"," $12,634,505", Pay the Ghost
Distributor Unknown, 13," $2,000,000"," $12,379,349", Les Boys
Stratosphere Entertainment, 10," $1,000,000"," $12,077,707", Hideous Kinky
M Power Releasing, 1," $10,000,000"," $11,924,041", End of the Spear
Menemsha Entertainment, 26," $500,000"," $11,819,570", Lasciati Andare
Lionsgate/Roadside Attractions, 3," $1,125,000"," $11,466,415", The Skeleton Twins
Skouras, 7, $0," $11,186,736", Mitt liv som hund
Palm Pictures, 38," $2,565,000"," $10,948,389", Ten Canoes
Captured Light, 1," $4,000,000"," $10,941,801", What the #$'! Do We Know
Indican Pictures, 164," $1,194,706"," $10,788,760", The Wonder of it All
Codeblack Entertainment, 7," $750,000"," $10,777,969", Kevin Hart: Laugh at My Pain
Slowhand Cinema, 22," $7,550,000"," $10,675,781", The Perfect Game
Avenue Pictures Productions…, 4, $0," $10,674,162", The Object of Beauty
truTV, 1, $0," $10,466,091", Impractical Jokers: The Movie
Televisa Cine, 2, $0," $10,196,556", A Day Without a Mexican
Five & Two Pictures, 10," $941,667"," $10,169,460", October Baby
Phase 4 Films, 47," $3,259,167"," $10,099,579", Horrid Henry: The Movie
Third Rail, 4," $20,666,667"," $9,872,101", Flash Point
Big Air Studios, 2, $0," $9,716,671", The Hole 3D
Roxie Releasing, 11," $2,666,667"," $9,262,549", Genghis Blues
Uncork'd Entertainment, 35, $0," $9,140,998", Lo Chiamavano Jeeg Robot
Searchlight Pictures, 4, $0," $9,021,712", Downhill
Gunpowder & Sky, 19," $2,000,000"," $9,014,061", Leto
Shadow, 33, $0," $8,761,386", The Wild Parrots of Telegraph Hill
XLrator Media, 49," $2,690,000"," $8,718,136", Michiel de Ruyter
Unison/Paladin, 1, $0," $8,481,356", What We Do in the Shadows
Millimeter Films, 6, $0," $8,405,504", Hardware
Independent Artists, 3," $4,000,000"," $8,347,530", Fathers and Daughters
Smith Global Media, 5," $3,500,000"," $8,345,196", Charming
Vision Films, 12, $0," $8,218,607", The Healer
Film Ventures International, 4, $0," $8,203,779", The Fifth Floor
Cinema Libre, 46," $1,030,000"," $8,155,147", En guerre
Megabox Plus M, 1, $0," $8,004,283", DONGJU; The Portrait of A Poet
Shooting Gallery, 5, $0," $7,988,037", Croupier
United Entertainment Partners, 1, $0," $7,900,000", The Final Master
8X Entertainment, 2," $22,000,000"," $7,791,554", Megiddo: Omega Code 2
Primesco, 2, $0," $7,739,694", Wolves
Bud Yorkin Co., 1, $0," $7,681,246", Twice in a Lifetime
Arenas Entertainment, 3, $0," $7,426,607", Nicotina
Briarcliffe Entertainment, 3," $6,500,000"," $7,353,976", Fahrenheit 11/9
Electric Entertainment, 4," $20,000,000"," $7,296,150", Bad Samaritan
Seven Arts Pictures, 6, $0," $7,182,726", Rambling Rose
Phaedra Cinema, 20," $25,000"," $7,131,210", Fever Pitch
The Bigger Picture, 19," $11,800,000"," $7,057,125", Genghis Khan: To the Ends of the Eart…
Rocket Releasing, 2, $0," $7,039,424", Tomboy
Libra Films, 4," $100,000"," $7,037,601", Eraserhead
BB Entertainment, 1, $0," $6,982,159", Innocent Voices
Chicago Releasing, 1, $0," $6,881,021", Redline
Shorts International, 5, $0," $6,859,713", 2013 Oscar Shorts
Live Film & Mediaworks, 1, $0," $6,762,661", Caught Up
Arcangelo Entertainment, 3, $0," $6,733,976", Kenny
Cowboy Pictures, 15," $2,500,000"," $6,483,712", The Endurance: Shackleton's Legendary…
Stage 6 Films, 1, $0," $6,479,980", Final Fantasy XV: Kingsglaive
Koch Lorber Films, 17, $0," $6,145,616", Changing Times
International Film Circuit, 41," $683,333"," $6,142,073"," Yoo-Hoo, Mrs. Goldberg"
Film Foundry, 2," $13,000,000"," $6,132,806", The Ultimate Gift
PackYourBag Films, 5, $0," $6,104,674", Uri: The Surgical Strike
Omin/Freestyle, 1," $20,000,000"," $6,093,725", Dylan Dog: Dead of Night
Lot 47 Films, 5," $700,000"," $6,071,496", The Fast Runner
Rosebud Releasing, 1," $3,500,000"," $5,926,177", Evil Dead II
RLJ Entertainment/Image Ent…, 9," $18,500,000"," $5,773,820", The Cobbler
Good Machine Releasing, 1," $3,000,000"," $5,746,453", Happiness
Tachyon, 3, $0," $5,743,085", Patiala House
Pentagon Releasing Inc., 1, $0," $5,664,557", The Concrete Jungle
Gathr Films, 14," $562,500"," $5,610,680", Embrace
Tribe Releasing, 1, $0," $5,607,900", ¿C?mo Cortar a Tu Patan?
Chiller Films, 4, $0," $5,356,447", The Boy
